id,createdDate,updatedDate,version,name,uri,description,authorizationId,profileId
48453166-67b4-4144-9244-9de91ab7f103,"2023-05-10 08:18:39.600146","2023-11-22 16:54:32.341335",4,"New reference (2)",https://acc-alkem.io/api/private/rest/storage/document/584bf01d-5c30-4456-8d9f-4c6629947857,,4a9c45e9-1bee-42e0-9dab-ca7d31be7232,7ce58552-ca45-40e1-9351-79075b20c553
484f6a46-2dd6-48d2-aec5-718fc78fd29a,"2023-07-11 10:30:58.523246","2023-07-11 10:30:58.000000",2,twitter,,"User profile on Twitter",1483d94d-4446-45b5-8a92-f000dc2840c3,52421fde-541a-4bc5-9c7d-48aedc3e59ee
48536151-fe6e-4522-9cb7-7bd0e6f9aaee,"2022-07-13 13:24:30.620539","2023-03-21 12:48:46.427240",3,"New reference",release-13-07-22-hub,release-13-07-22-hub,f412018b-61bf-4d0b-b7c3-a33eb211d07b,3703f86c-abdb-47cd-8593-9ee76aa0ffa2
485f5aed-a496-4ddf-ac87-fc1eb1840165,"2024-08-07 09:17:46.764216","2024-08-07 09:17:55.000000",4,test,https://acc-alkem.io/api/private/rest/storage/document/f806d9d9-4a74-4e1f-86e4-13c5fbff8b59,,089b75f8-7c88-4577-8c35-56df3aa21a4d,3ae26521-0671-4195-afe8-1b5263ec9a45
490a20bc-4b72-4ae6-8c48-b95c218a6446,"2024-05-28 13:14:29.684450","2024-05-28 13:14:29.000000",2,linkedin,,"User profile on LinkedIn",44320f98-731f-478b-802f-39c06b31df44,f34f48a1-a510-44f8-9012-6083d4d4c478
494687f6-1464-4dc5-b39f-00649c31ea3d,"2022-08-25 08:38:41.717514","2022-08-25 08:38:45.000000",2,linkedin,,"User profile on LinkedIn",74f7b579-a60c-486f-b302-edd02c35f56f,ec4f863f-c18e-42e8-86a2-0a432b9e267b
49d4f146-1d8a-4d49-a100-5b8ff260b737,"2023-12-12 14:46:54.486014","2023-12-12 14:46:54.000000",2,linkedin,,"User profile on LinkedIn",9e2df6d8-3a98-4af6-a268-c76e34cd7db9,5acb1158-c7d4-4387-9a0a-b2de5aba6dee
4a2c3b3f-17b4-4d9f-ab2a-55261d36c5a7,"2022-12-19 11:27:57.600990","2023-03-21 12:48:40.922951",3,"New reference",https://test.com,test,da09f877-f110-45b6-b46d-4f1a3c89180c,451de81c-a767-4857-ab4b-a163c292acb5
4a67cec3-9a1d-44e8-ba86-bf8286f8c79a,"2024-02-09 14:49:29.077549","2024-02-09 14:49:29.000000",2,linkedin,,"User profile on LinkedIn",09bae262-a2db-4b01-88f7-961ee7784993,13af0ace-331b-47f9-9874-fbceb98bfefb
4aac7291-5c0c-4dcf-b751-c61b71d87b59,"2023-09-20 09:16:07.924854","2023-09-20 09:16:07.000000",2,twitter,,"User profile on Twitter",d34144aa-96af-4c0d-b6e4-f1738dce8645,18ed6258-8fdf-4c2c-8811-6b95e1fa3c68
